key,registrationMoment,passengerEmail,description,type,indicator,key:assistanceAgent
claim-01,2021/05/10 10:00,test@test.com,test description,LUGGAGE_ISSUES,false,assistance-agent-01
claim-02,2021/05/10 10:00,test2@test.com,test description 2,FLIGHT_ISSUES,true,assistance-agent-01
claim-03,2021/05/10 10:00,acme@lorem-ipsum.org,test description 3,OTHER_ISSUES,true,assistance-agent-02
claim-04,2022/07/30 0:00,acmepassword@lorem-ipsum.org,test description,OTHER_ISSUES,true,assistance-agent-03
claim-05,2022/07/29 23:59,a@b.e,test description,OTHER_ISSUES,true,assistance-agent-04
claim-06,2000/01/01 0:00,a@b.es,test description,OTHER_ISSUES,true,assistance-agent-05
claim-07,2000/01/01 0:01,a@b.esx,test description,OTHER_ISSUES,true,assistance-agent-06
claim-08,2021/05/10 10:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,test description,OTHER_ISSUES,true,assistance-agent-07
claim-09,2021/05/10 10:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,test description,OTHER_ISSUES,true,assistance-agent-08
claim-10,2021/05/10 10:00,test3@test.com,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",OTHER_ISSUES,true,assistance-agent-09
claim-11,2021/05/10 10:00,test3@test.com,L,OTHER_ISSUES,true,assistance-agent-10
claim-12,2021/05/10 10:00,test3@test.com,Lo,OTHER_ISSUES,true,assistance-agent-11
claim-13,2021/05/10 10:00,test3@test.com,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",OTHER_ISSUES,true,assistance-agent-12
claim-14,2021/05/10 10:00,test3@test.com,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",OTHER_ISSUES,true,assistance-agent-13
claim-15,2021/05/10 10:00,test3@test.com,โลเร็ม อิปซัม,OTHER_ISSUES,true,assistance-agent-14
claim-16,2021/05/10 10:00,test3@test.com,لوريم إيبسوم,OTHER_ISSUES,true,assistance-agent-15
claim-17,2021/05/10 10:00,test3@test.com,洛伦·伊普森,OTHER_ISSUES,true,assistance-agent-16
claim-18,2021/05/10 10:00,test3@test.com,<marquee>Hacked</marquee>,OTHER_ISSUES,true,assistance-agent-17
claim-19,2021/05/10 10:00,test3@test.com,<script>alert(‘Hacked!’);</script>,OTHER_ISSUES,true,assistance-agent-18
claim-20,2021/05/10 10:00,test3@test.com,' or 'A' = 'A,OTHER_ISSUES,true,assistance-agent-19
claim-21,2021/05/10 10:00,test3@test.com,http://lorem.com/ipsum,OTHER_ISSUES,true,assistance-agent-20
claim-22,2021/05/10 10:00,test3@test.com,ftp://a,OTHER_ISSUES,true,assistance-agent-21
claim-23,2021/05/10 10:00,test3@test.com,ftp://a.b,OTHER_ISSUES,true,assistance-agent-22
claim-24,2021/05/10 10:00,test3@test.com,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",OTHER_ISSUES,true,assistance-agent-23
claim-25,2021/05/10 10:00,test3@test.com,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",OTHER_ISSUES,true,assistance-agent-24
claim-26,2021/05/10 10:00,test3@test.com,https://www.lorem-ipsum.org,OTHER_ISSUES,true,assistance-agent-25
claim-27,2021/05/10 10:00,test3@test.com,ftp://www.lorem-ipsum.org,OTHER_ISSUES,true,assistance-agent-26
claim-28,2021/05/10 10:00,test3@test.com,http://www.lorem-ipsum.org/dolor/sit.html,OTHER_ISSUES,true,assistance-agent-27
claim-29,2021/05/10 10:00,test3@test.com,http://www.lorem-ipsum.org/dolor/sit.html#dolor,OTHER_ISSUES,true,assistance-agent-28
claim-30,2021/05/10 10:00,test3@test.com,http://example.org?a=1&b=2,OTHER_ISSUES,true,assistance-agent-29
claim-31,2021/05/10 10:00,test3@test.com,http://example.org?,OTHER_ISSUES,true,assistance-agent-30
claim-32,2021/05/10 10:00,test3@test.com,http://example.org?a,OTHER_ISSUES,true,assistance-agent-31
claim-33,2021/05/10 10:00,test3@test.com,http://example.org?a&b,OTHER_ISSUES,true,assistance-agent-32
claim-34,2021/05/10 10:00,test3@test.com,http://example.org/,OTHER_ISSUES,true,assistance-agent-33
claim-35,2021/05/10 10:00,test3@test.com,http://example.org/a,OTHER_ISSUES,true,assistance-agent-34
claim-36,2021/05/10 10:00,test3@test.com,http://example.org/a/b,OTHER_ISSUES,true,assistance-agent-35
claim-37,2021/05/10 10:00,test3@test.com,http://example.org/a/b?,OTHER_ISSUES,true,assistance-agent-36
claim-38,2021/05/10 10:00,test3@test.com,http://example.org/a/b?a&b,OTHER_ISSUES,true,assistance-agent-37
