key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
user-account-customer-01,true,"UserIdentity{name: 'Antonio', surname: 'Lopez', email: 'antonio@acme.com'}",customer1,customer1
user-account-customer-02,true,"UserIdentity{name: 'Manuel', surname: 'Montoya', email: 'montoya@acme.com'}",customer2,customer2
user-account-customer-03,true,"UserIdentity{name: 'Jose', surname: 'Cubiles', email: 'Jose@acme.com'}",customer3,customer3
user-account-assistance-agent-01,true,"UserIdentity{name: 'Jesús', surname: 'Martín', email: 'agent1@acme.com'}",agent1,agent1
user-account-assistance-agent-02,true,"UserIdentity{name: 'Agent', surname: 'Test', email: 'agent2@acme.com'}",agent2,agent2
user-account-manager-03,true,"UserIdentity{name: 'Manager', surname: 'Test', email: 'manager3@acme.com'}",manager3,manager3
